도로명상세주소
경북 영주시 단산면 옥대로 23-6 
충남 공주시 사곡면 계실양촌길 21-1 
전남 광양시 진월면 망덕길 356 
전남 광양시 김시식지길 15 (태인동)
"전북 부안군 변산면 모항해변길 4 , 일원 "
강원 철원군 갈말읍 직탕길 32 
전북 남원시 주생면 정송1길 35-3 
부산 강서구 공항앞길33번길 20-10 (대저2동)
경남 진주시 집현면 남강로 1899 
경남 진주시 창렬로7번길 14-1 (인사동)
경남 진주시 집현면 지내길 13 
강원 춘천시 소양정길34번길 4 
강원 춘천시 도화길 12-1 (효자동)
강원 춘천시 백령로119번길 26 (효자동)
 
 
 
강원 춘천시 약사고개길50번길 21-5 (약사동)
강원 춘천시 신북읍 상천3길 2 
강원 춘천시 전원안길 41 (교동)
강원 태백시 철암시장길 28-1 (철암동)
 
강원 태백시 백두대간로 644 (창죽동)
강원 태백시 동태백로 439 (철암동)
강원 태백시 상철암길 39-1 (철암동)
강원 횡성군 서원면 옥계사일길 8 
 
서울 종로구 세검정로6나길 44 (신영동)
 
서울 서초구 사평대로6길 102 (방배동)
부산 서구 해돋이로114번길 18 (남부민동)
부산 부산진구 중앙번영로 25 (범천동)
강원 홍천군 내면 가덕길 12-4 
강원 홍천군 홍천읍 홍천로 658-1 
