FCLT_NM,RONA_DADDR
청룡지구, [지점번호:라라35898709]
사일지구,
아랫들지구,
중촌들지구,
옥대지구,경상북도 영주시 단산면 옥대로  23-6   
피골지구,
두전지구,
휴천지구,
죽계지구,
적동지구,
계족산, [지점번호:라사86920935]
대창1지구,
남포천지구,
정안천,
금강,
내흥지구, [지점번호:다바72272434]
사곡지구,
계실천,충청남도 공주시 사곡면 계실양촌길  21-1   
문정지구,
내성천,
내성천,
진월 외망지구,전라남도 광양시 진월면 망덕길  356    
태인 궁기지구,전라남도 광양시  김시식지길  15   (태인동)
용촌 자연재해위험개선 지구,
모항마을유수지,"전라북도 부안군 변산면 모항해변길  4 , 일원  "
학사2지구, [지점번호:다아92672789]
상사2지구,강원도 철원군 갈말읍 직탕길  32    
옥률천,전라북도 남원시 주생면 정송1길  35-3   
산막저수지, [지점번호:다라33358890]
건동천,
도로, [지점번호:라사99733196]
도로, [지점번호:마사04132470]
대화천, [지점번호:마마81547189]
대저2동,부산광역시 강서구  공항앞길33번길  20-10  (대저2동)
지방하천,경상남도 진주시 집현면 남강로  1899    
나불지구,경상남도 진주시  창렬로7번길  14-1  (인사동)
지내천,경상남도 진주시 집현면 지내길  13    
다사 서재 2 자연재해위험개선지구, [지점번호:라마89136465]
상평지구 자연재해위험개선지구,
봉성지구,
봉의 8,강원도 춘천시  소양정길34번길  4    
교동 1, [지점번호:라사20708713]
효자 1,강원도 춘천시  도화길  12-1  (효자동)
효자 2,강원도 춘천시  백령로119번길  26   (효자동)
봉의 10, [지점번호:라사20498819]
근화, 
봉의 9, 
소양 3, 
약사,강원도 춘천시  약사고개길50번길  21-5  (약사동)
천전,강원도 춘천시 신북읍 상천3길  2    
느치골, [지점번호:라사26509321]
교동3지구,강원도 춘천시  전원안길  41   (교동)
붕괴및침수,
계천, [지점번호:라사53895128]
상습침수,강원도 태백시  철암시장길  28-1  (철암동)
매산골천, [지점번호:마사36770455]
황지천, 
기타(국도사면),강원도 태백시  백두대간로  644   (창죽동)
기타(국도사면), [지점번호:마사39790183]
황지천, [지점번호:마사32540958]
서학골천, [지점번호:마사31630722]
국도38호, [지점번호:마사32760976]
철암천,강원도 태백시  동태백로  439   (철암동)
갈골,강원도 태백시  상철암길  39-1  (철암동)
전천, [지점번호:라사53214499]
이리천,강원도 횡성군 서원면 옥계사일길  8    
청곡교, [지점번호:라사42115108]
대관대천, [지점번호:라사46735076]
유동천, [지점번호:라사56755342]
계천, [지점번호:라사55885184]
전천, 
급경사지,서울특별시 종로구  세검정로6나길  44   (신영동)
남항지구, [지점번호:마라39967801]
도로, [지점번호:다사52674748]
배수시설,
낙석위험절개지,
낙석위험 절개지, 
사당천, [지점번호:다사54244249]
저류조,
우면산자연재해위험지구,서울특별시 서초구  사평대로6길  102   (방배동)
말죽거리소공원자연재해위험지구, [지점번호:다사59054251]
말죽거리근린공원 자연재해위험지구,
공항빗물펌프장,
내수침수(굴포천),
굴포천,600-1 일원
한강, [지점번호:다사42805086]
안양천, [지점번호:다사42834796]
진정산 일원, [지점번호:마라37737577]
남부민초등학교 뒤 언덕붕괴 위험지구,부산광역시 서구  해돋이로114번길  18   (남부민동)
대연소하천, [지점번호:마라45598278]
범천1지구,부산광역시 부산진구  중앙번영로  25   (범천동)
하천제방, [지점번호:라사37216861]
하천,강원도 홍천군 내면 가덕길  12-4   
배수펌프장,강원도 홍천군 홍천읍 홍천로  658-1   
도로사면, [지점번호:라사37596679]
도로사면, [지점번호:라사47478441]
도로사면,
도로사면, [지점번호:라사58307412]
도로사면, [지점번호:라사22966548]
도로사면,
도로(교량),
"배수펌프장,하천제방", [지점번호:라사17666770]
정연지구, 
이길지구, 
거진1지구,
언덕붕괴,강원도 고성군 토성면 아야진해변길  104    
송포지구,강원도 고성군 거진읍 해오름해변길  70    
거진2지구,
거진3지구,
공현진지구, [지점번호:라아88134009]
공현진지구,강원도 고성군 죽왕면 공현진해변길  107-16   
대진지구,
동호지구, [지점번호:라아86224373]
삼포지구, [지점번호:라아82933441]
아야진2지구,강원도 고성군 토성면 아야진3길  26    
아야진3지구,강원도 고성군 토성면 아야진해변길  65-2   
용촌지구, [지점번호:라아94662594]
인정지구,
당정천, [지점번호:다사51092973]
두지배수펌프장, [지점번호:다사47329655]
율곡재해위험지구, [지점번호:다사39508803]
문산지구,경기도 파주시 문산읍 문향로85번길  34-14   
남양지구,경기도 화성시  화성로  1057-7  (남양동)
황계지구, [지점번호:다사57381336]
침수위험지구, [지점번호:라사12122218]
금당천 제방, [지점번호:라사15422333]
소양천, [지점번호:라사10692359]
용강골천, 
용금천, [지점번호:라사12361738]
대수리천, 
원골천, [지점번호:라사10631695]
상교천,경기도 여주군 여주읍 영릉로  123    
덕실천, [지점번호:라사14350933]
지방하천, [지점번호:라사04803371]
지방하천, [지점번호:라사12433287]
소하천, [지점번호:라사20281365]
소양1지구,
소양2지구,
신북지구, [지점번호:라사22659180]
춘여고지구,강원도 춘천시  향교뒷길  13   (교동)
약사명동, [지점번호:라사19728617]
교동2, [지점번호:라사20798700]
소양4지구, [지점번호:라사20368817]
대머리, 
북방지구,경상남도 하동군 옥종면 안계길  97-14   
주교천, [지점번호:라라27086543]
취락지구,강원도 영월군 주천면 주천로  21    
취락지구,강원도 영월군 영월읍 덕포우회길  343-2   
어천,
유구천,
중산천,
태봉천, [지점번호:다바67532691]
용성천, [지점번호:다바60871828]
