"DST_RSK_DSTRCT_MNG_NO","DST_RSK_DSTRCT_NM","DST_RSK_DSTRCT_GRD_CD","DST_RSK_DSTRCT_TYPE_CD","DST_RSK_DSTRCTCD","DST_RSK_DSTRCT_RGN_CD","DST_RSK_DSTRCT_HONU","MAO_CD","MAOF_NM","FCLT_NM","FCLTY_GRD_CD","FCLTY_GRD_NM","DST_WASY_CD","WASY_NM","DSGN_YMD","DSGN_RSN","RMV_YMD","RMV_RSN","DAM_INTV","DAM_DAY_RNFL","DAM_HR_RNFL","RSK_FACTR_CN","PRPL_MTTR_CD","WRTR_NM","WRTR_OGDP_JBGD_CN","IDFR_NM","IDFR_OGDP_JBGD_CN","FCLT_MNG_INST_NM","FCLT_MNG_INST_TELNO","MNG_REPE_NM","MNG_RBPRSN_OGDP_JBGD_CN","MNG_RBPRSN_OFC_TELNO","MNG_RBPRSN_HOME_TELNO","MNG_RBPRSN_MBL_TELNO","MNG_CTZN_NM","MNG_CTZN_JBGD_NM","MNG_CTZN_OFC_TELNO","MNG_CTZN_HOME_TELNO","MNG_CTZN_MBL_TELNO","COPL_RMRK","LAST_MDFCN_DT","LAST_MDFR_ID","APLY_YN","DSGN_AREA","APLY_YR","APLY_YMD","CNSLTN_YMD","IDNTY_YMD","RSLT_NTFCTN_YMD","DSGN_YR","ANCMNT_YMD","MPL_IDFR_NM","RSLT_SPTR","MPL_IDFR_CN","HAB_NOHO","HAB_NOPE_CNT","BSC_PLAN_NM","FNDG_YMD","ACT_LMT_MUOR_SPTR","ENCT_YMD","DCSD_CNT","INJPSN_CNT","DAM_HSTRY_IDX","CST_BNTS_VL","PLCY_VL","CNTNC_VL","PREP_VL","BSC_PLAN_YN","MTN_ADDR_YN","MNLNO","SUBLOTNO","DADDR","ROAD_NM_CD","RONA_DADDR","STDG_CD","USE_YN","RSTR_PLAN_VER_VL","FCLT_SE_CD","FCLT_GRD_CD","ATCH_FILE_ID_1","ATCH_FILE_ID_2","ATCH_FILE_ID_3","ATCH_FILE_ID_4","ATCH_FILE_ID_5","LINK_STTS","LINK_PRCS_TYPE","LINK_PRCS_HR","LINK_MSG_ID","LINKLOG","LINK_TRNS_ID","MAO_CD_BKUP","TMPR_COL_BKUP","STDG_CD_BKUP"
"재해위험지구관리번호","재해위험지구명","재해위험지구등급코드","재해위험지구유형코드","재해위험지구코드","재해위험지구지역코드","재해위험지구번지","부처코드","부처명","시설명","시설물등급코드","시설물등급명","재해수계코드","수계명","지정일자","지정사유","해제일자","해제사유","피해주기","피해일강우량","피해시간강우량","위험요인내용","추진사항코드","작성자명","작성자소속직급내용","확인자명","확인자소속직급내용","시설관리기관명","시설관리기관전화번호","관리책임자명","관리책임자소속직급내용","관리책임자사무실전화번호","관리책임자자택전화번호","관리책임자휴대전화번호","관리주민명","관리주민직급명","관리주민사무실전화번호","관리주민자택전화번호","관리주민휴대전화번호","연락처비고","최종수정일시","최종수정자아이디","신청여부","지정면적","신청연도","신청일자","협의일자","확인일자","결과통보일자","지정연도","고시일자","중앙확인자명","결과구분자","중앙확인자내용","거주세대수","거주인원수수","기본계획명","수립일자","행위제한조례구분자","제정일자","사망자수","부상자수","피해이력지수","비용편익값","정책값","지속값","준비값","기본계획여부","산주소여부","주지번","부지번","상세주소","도로명코드","도로명상세주소","법정동코드","사용여부","복구계획버전값","시설구분코드","시설등급코드","첨부파일아이디1","첨부파일아이디2","첨부파일아이디3","첨부파일아이디4","첨부파일아이디5","연계상태","연계처리유형","연계처리시간","연계메시지아이디","연계로그","연계트랜잭션아이디","부처코드_BAK","임시컬럼_BAK","법정동코드_BAK"
"488502011013","청룡지구","2","001","null","4885041000","null","null","null","청룡지구","012","지방1급하천","-1","null","20100520","상습침수지역","null","null","0","0","0","상습침수지역","1","이영봉","안전총괄과 시설8급","손채성","안전총괄과 시설6급","하동군","055-880-2253","천정길","옥종면 시설7급","880-6394","null","010-9443-9210","null","null","null","null","null","null","2021/12/23 22:07:52.000000000","n16100232399","0","450000","2015","20160705","null","null","null","null","null","null","null","null","450","1800","null","null","00","null","0","0","null","0","null","null","null","N","0","1","null","null","null"," [지점번호:라라35898709]","4885041021","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_211223221510005010_95238","035","4885041000","4885041021"
"472102006001","사일지구","2","001","null","4721000000","null","null","null","사일지구","013","지방2급하천","2","낙동강","20060228","재해위헙지구 지정관리","20120208","null","0","0","0","제방붕괴 우려
- 서천지구 하천재해예방사업(준공일 : '09. 4. 19.)","4","황만기","재난안전관리과 시설7급","권영박","재난안전관리과 시설5급","영주시 건설과","054-639-6338","안정호","휴천3동 행정8급","054-639-6621","null","null","김재곤","조암동 1153","null","null","017-531-7375","null","2023/06/02 10:54:44.000000000","n18020293822","0","60000","null","20151102","null","null","null","null","null","null","null","null","0","0","null","null","00","null","0","0","0","0","null","null","null","N","0","1041","1","null","4721011100110410004000001     ","null","4721011100","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602110010005010_67491","035","4721059000","4721010400"
"472102006002","아랫들지구","3","001","null","4721000000","일원","null","null","아랫들지구","013","지방2급하천","2","낙동강","20060228","재해위험지구 지정관리","null","null","0","0","0","제방붕괴 우려
- 죽계지구 하천재해예방사업(준공예정일 : '23. 12. 17.)","4","홍정아","안전재난과 시설7급","장문규","안전재난과 행정5급","영주시","054-639-5972","홍정아","안전재난과 시설7급","054-639-5972","null","010-9380-5603","박성국","안정면 동촌리","null","null","011-538-7471","null","2023/06/02 10:21:00.000000000","n18020293822","0","140000","2006","20060302","null","null","null","null","null","null","null","null","10","19","null","null","02","20090108","0","0","0","0","null","null","null","N","0","856","1","null","null","null","4721037022","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602103010005010_40213","038","4721035000","4721035000"
"472102006003","중촌들지구","3","002","null","4721000000","일원","null","null","중촌들지구","013","지방2급하천","2","낙동강","20060228","재해위험지구 지정관리","null","null","0","0","0","세굴로 인한 제방붕괴 우려
- 죽계2지구 하천재해예방사업(준공예정일 : '23. 12. 17.)","2","홍정아","안전재난과 시설7급","장문규","안전재난과 행정5급","영주시 안전재난과","054-639-5972","홍정아","안전재난과 시설7급","054-639-5972","null","010-9380-5603","박병국","순흥면 읍내리","null","null","010-4177-6148","null","2023/06/02 10:17:50.000000000","n18020293822","0","100000","2006","20060302","null","null","null","null","null","null","null","null","56","162","null","null","02","20090108","0","0","0","0","null","null","null","N","0","245","1","null","null","null","4721037024","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602102510009010_99387","038","4721037000","4721037000"
"472102006004","옥대지구","1","001","null","4721000000","null","null","null","옥대지구","013","지방2급하천","2","낙동강","20140206","재해위험지구 지정관리(변경고시)","20170322","재해위험지구 정비사업 완료
- 옥대지구 하천재해예방사업(준공일 : '16. 12. 26.)","0","0","0","침수위험","4","김명규","안전재난과 시설7급","금호준","안전재난과 행정5급","영주시","054-639-5973","김명규","안전재난과 시설7급","054-639-5973","null","010-9350-9536","이해주","단산면 옥대리","null","null","010-2531-5413","null","2023/06/02 10:46:37.000000000","n18020293822","0","150000","2014","20140206","null","null","null","null","null","null","null","null","108","259","null","null","02","20090108","0","0","0","0","null","null","null","N","0","173","1","null","null","경상북도 영주시 단산면 옥대로  23-6   ","4721038025","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602105510003010_45963","035","4721038000","4721038025"
"472102006005","피골지구","1","001","null","4721000000","일원","null","null","피골지구","013","지방2급하천","2","낙동강","20060228","재해위험지구 지정관리","null","null","5","250","30","침수위험
- 죽계지구 하천재해예방사업(준공일 : '19. 12. 16.)","4","홍정아","안전재난과 시설7급","장문규","안전재난과 행정5급","영주시","054-639-5972","홍정아","안전재난과 시설7급","054-639-5974","null","010-9380-5603","안영식","null","null","null","010-4810-0729","null","2023/06/02 10:05:29.000000000","n18020293822","0","60000","2006","20060302","null","null","null","null","null","null","null","null","6","8","null","null","02","20150108","0","0","0","0","null","null","null","N","0","94","3","null","4721011300100940008000001     ","null","4721011300","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602101510010010_54013","038","4721063000","4721010500"
"472102006006","두전지구","2","001","null","4721000000","null","null","null","두전지구","013","지방2급하천","2","낙동강","20060228","재해위험지구 지정관리","20120208","옥계지구 하천재해예방사업
- 준공일 : '10. 8. 24.","5","250","30","침수위험","4","강신혁","재난관리과 시설7급","강병춘","재난관리과 시설5급","영주시청","054-639-6338","김지찬","재난관리과 시설9급","054-639-7535","null","010-4343-0282","류수영","장수면 두전3리","054-637-7409","null","null","null","2023/06/02 10:23:52.000000000","n18020293822","0","60000","null","20151102","null","null","null","null","null","null","null","null","0","0","null","null","00","null","0","0","0","0","null","null","null","N","0","1281","0","null","4721034022112810000023076     ","null","4721034022","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602103010005010_40213","035","4721034000","4721034022"
"472102010007","휴천지구","1","001","null","4721000000","null","null","null","휴천지구","002","지방도","-1","null","20100129","재해위험지구 지정관리","20150901","영주시 시가지 상습침수지역(휴천지구) 재해위험지구 정비사업
- 준공일 : '14. 6. 2.","5","250","30","침수위험","4","null","null","null","null","재난관리과","054-639-6975","임상호","재난관리과 시설7급","054-639-6975","null","010-2804-3600","null","null","null","null","null","null","2023/06/02 10:51:49.000000000","n18020293822","0","60000","null","20151031","null","null","null","null","null","null","null","null","0","0","null","null","00","null","0","0","0","0","null","null","null","N","0","693","9","null","4721010400106930009011092     ","null","4721010400","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602110010005010_67491","035","4721059000","4721010400"
"472102010008","죽계지구","3","001","null","4721000000","null","null","null","죽계지구","013","지방2급하천","19","기타","20060302","재해위험지구 지정관리","null","null","5","250","3","침수위험
- 죽계지구 하천재해예방사업(준공예정일 : '23. 12. 17.)","3","홍정아","안전재난과 시설7급","장문규","안전재난과 시설5급","영주시","054-639-5972","홍정아","안전재난과 시설7급","054-639-5972","null","010-9380-5603","박성국","null","null","null","011-538-7471","null","2023/06/02 10:45:09.000000000","n18020293822","0","720000","2006","20060302","null","null","null","null","null","null","null","null","123","423","null","null","02","20090108","0","0","0","0","null","null","null","N","0","989","2","null","null","null","4721037022","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602105010004010_10168","038","4721037000","4721037027"
"472102011009","적동지구","3","001","null","4721000000","null","null","null","적동지구","013","지방2급하천","-1","null","20100730","침수위험","20120208","정비완료
- 서천지구 하천재해예방사업(준공일 : '10. 8. 18.)","0","0","0","침수","4","null","null","강병춘","재난관리과 시설5급","null","null","이동희","재난관리과 시설7급","054-639-6332","null","010-3826-3830","김경애","적동2리장","054-637-0181","null","010-5461-0181","null","2023/06/02 10:11:50.000000000","n18020293822","0","60000","null","20151102","null","null","null","null","null","null","null","null","0","0","null","null","00","null","0","0","0","0","null","null","null","N","0","723","1","null","null","null","4721033023","Y","null","null","null","null","null","null","null","null","P","I","null","null","null","IF_MPS_MPSS_010_230602102010001010_28367","035","4721033000","4721033023"
